k,mean_silhouette,adjusted_rand_index
2,0.4816095270141116,0.9667587576952869
3,0.48027823295924665,0.5285918565744258
4,0.4121232583249391,0.4543151891232526
5,0.35173719624110267,0.4202260460422002
6,0.29058145974921396,0.3040662765867165
7,0.23133232767676123,0.22563992631295401
8,0.2273781931652072,0.2350903673214599
9,0.18699606880609407,0.1749695751057967
10,0.18729012986440122,0.1557786543563109
11,0.1769232635839642,0.1604596766743649
12,0.13731060072570106,0.05545064169819434
13,0.15915413150905722,0.06520566392394662
14,0.14053255551561317,0.028844775319164358
15,0.12567271859086576,0.05344288923196242
16,0.15210755436720041,0.06361370259590705
17,0.1392779489175367,0.02533814426155593
18,0.12049147434258115,0.020117210999952975
19,0.11878764252121284,0.017899406215727064
20,0.08098493272751332,0.027043429702482694
