sequence_id,known_subfamily
family372_seq001,LTR30
family372_seq002,LTR30
family372_seq003,LTR30
family372_seq004,LTR30
family372_seq005,LTR30
family372_seq006,LTR30
family372_seq007,LTR30
family372_seq008,LTR30
family372_seq009,LTR30
family372_seq010,LTR30
family372_seq011,LTR30
family372_seq012,LTR30
family372_seq013,LTR30
family372_seq014,LTR30
family372_seq015,LTR30
family372_seq016,LTR30
family372_seq017,LTR30
family372_seq018,LTR30
family372_seq019,LTR30
family372_seq020,LTR30
family372_seq021,LTR30
family372_seq022,LTR30
family372_seq023,LTR30
family372_seq024,LTR30
family372_seq025,LTR30
family372_seq026,LTR30
family372_seq027,LTR30
family372_seq028,LTR30
family372_seq029,LTR30
family372_seq030,LTR30
family372_seq031,LTR30
family372_seq032,LTR30
family372_seq033,LTR30
family372_seq034,LTR30
family372_seq035,LTR30
family372_seq036,LTR30
family372_seq037,LTR30
family372_seq038,LTR30
family372_seq039,LTR30
family372_seq040,LTR30
family372_seq041,LTR30
family372_seq042,LTR30
family372_seq043,LTR30
family372_seq044,LTR30
family372_seq045,LTR30
family372_seq046,LTR30
family372_seq047,LTR30
family372_seq048,LTR30
family372_seq049,LTR30
family372_seq050,LTR30
family372_seq051,LTR30
family372_seq052,LTR30
family372_seq053,LTR30
family372_seq054,LTR30
family372_seq055,LTR30
family372_seq056,LTR30
family372_seq057,LTR30
family372_seq058,LTR30
family372_seq059,LTR30
family372_seq060,LTR30
family372_seq061,LTR30
family372_seq062,LTR30
family372_seq063,LTR30
family372_seq064,LTR30
family372_seq065,LTR30
family372_seq066,LTR30
family372_seq067,LTR30
family372_seq068,LTR30
family372_seq069,LTR30
family372_seq070,LTR30
family372_seq071,LTR30
family372_seq072,LTR30
family372_seq073,LTR30
family372_seq074,LTR30
family372_seq075,LTR30
family372_seq076,LTR30
family372_seq077,LTR30
family372_seq078,LTR30
family372_seq079,LTR30
family372_seq080,LTR30
family372_seq081,LTR30
family372_seq082,LTR30
family372_seq083,LTR30
family372_seq084,LTR30N1
family372_seq085,LTR30N1
family372_seq086,LTR30N1
family372_seq087,LTR30N1
family372_seq088,LTR30N1
family372_seq089,LTR30N1
family372_seq090,LTR30N1
family372_seq091,LTR30N1
family372_seq092,LTR30N1
family372_seq093,LTR30N1
family372_seq094,LTR30N1
family372_seq095,LTR30N1
family372_seq096,LTR30N1
family372_seq097,LTR30N1
family372_seq098,LTR30N1
family372_seq099,LTR30N1
family372_seq100,LTR30N1
family372_seq101,LTR30N1
family372_seq102,LTR30N1
family372_seq103,LTR30N1
family372_seq104,LTR30N1
family372_seq105,LTR30N1
family372_seq106,LTR30N1
family372_seq107,LTR30N1
family372_seq108,LTR30N1
family372_seq109,LTR30N1
family372_seq110,LTR30N1
family372_seq111,LTR30N1
family372_seq112,LTR30N1
family372_seq113,LTR30N1
family372_seq114,LTR30N1
family372_seq115,LTR30N1
family372_seq116,LTR30N1
family372_seq117,LTR30N1
family372_seq118,LTR30N1
family372_seq119,LTR30N1
family372_seq120,LTR30N1
family372_seq121,LTR30N1
family372_seq122,LTR30N1
