sequence_id,predicted_cluster,silhouette,selected_k,known_subfamily
family372_seq001,1,0.4781674741939508,2,LTR30
family372_seq002,1,0.4078389139288014,2,LTR30
family372_seq003,1,0.27126379940903605,2,LTR30
family372_seq004,1,0.40272736608557164,2,LTR30
family372_seq005,1,0.37528857016474715,2,LTR30
family372_seq006,1,0.3429499655366694,2,LTR30
family372_seq007,0,0.379440957194642,2,LTR30
family372_seq008,1,0.4572233929986572,2,LTR30
family372_seq009,1,0.4338593023541039,2,LTR30
family372_seq010,1,0.4426522690965841,2,LTR30
family372_seq011,1,0.322824437982079,2,LTR30
family372_seq012,1,0.4359082877926761,2,LTR30
family372_seq013,1,0.48703282936048353,2,LTR30
family372_seq014,1,0.40809592501331426,2,LTR30
family372_seq015,1,0.33321387424380916,2,LTR30
family372_seq016,1,0.04421507442089003,2,LTR30
family372_seq017,1,0.4804455061703209,2,LTR30
family372_seq018,1,0.22029862869015723,2,LTR30
family372_seq019,1,0.24320242876596168,2,LTR30
family372_seq020,1,0.43797501849025866,2,LTR30
family372_seq021,1,0.35990748104552267,2,LTR30
family372_seq022,1,0.37031843741250486,2,LTR30
family372_seq023,1,0.23185737401000972,2,LTR30
family372_seq024,1,0.4807660811150752,2,LTR30
family372_seq025,1,0.4659101855991773,2,LTR30
family372_seq026,1,0.44834035210044015,2,LTR30
family372_seq027,1,0.41406653571721025,2,LTR30
family372_seq028,1,0.4153942193195406,2,LTR30
family372_seq029,1,0.43648628530041567,2,LTR30
family372_seq030,1,0.4173693040543782,2,LTR30
family372_seq031,1,0.27126379940903866,2,LTR30
family372_seq032,1,0.4750778697973812,2,LTR30
family372_seq033,1,0.4121120791672666,2,LTR30
family372_seq034,1,0.11693825830867986,2,LTR30
family372_seq035,1,0.44317041174719835,2,LTR30
family372_seq036,1,0.48059727763886545,2,LTR30
family372_seq037,1,0.49782189608048094,2,LTR30
family372_seq038,1,0.333213874243809,2,LTR30
family372_seq039,1,0.13843567242007587,2,LTR30
family372_seq040,1,0.4033213030689171,2,LTR30
family372_seq041,1,0.4296297204956462,2,LTR30
family372_seq042,1,0.43308704080846455,2,LTR30
family372_seq043,1,0.31793340115247753,2,LTR30
family372_seq044,1,0.42962972049564535,2,LTR30
family372_seq045,1,0.47739081683732854,2,LTR30
family372_seq046,1,0.41214019663863516,2,LTR30
family372_seq047,1,0.2748333082992507,2,LTR30
family372_seq048,1,0.40641339977765806,2,LTR30
family372_seq049,1,0.39383969398101887,2,LTR30
family372_seq050,1,0.4679186927979802,2,LTR30
family372_seq051,1,0.4390054237650527,2,LTR30
family372_seq052,1,0.4801587980240546,2,LTR30
family372_seq053,1,0.4489361203205082,2,LTR30
family372_seq054,1,0.3278959823257871,2,LTR30
family372_seq055,1,0.4164048201877393,2,LTR30
family372_seq056,1,0.37919293609356186,2,LTR30
