sequence_id,predicted_cluster,known_subfamily
family308_seq001,1-0,LTR13_v
family308_seq002,1-0,LTR13_v
family308_seq003,1-0,LTR13_v
family308_seq004,1-0,LTR13_v
family308_seq005,1-0,LTR13_v
family308_seq006,1-1,LTR13_v
family308_seq007,1-0,LTR13_v
family308_seq008,1-0,LTR13_v
family308_seq009,1-0,LTR13_v
family308_seq010,1-1,LTR13_v
family308_seq011,1-0,LTR13_v
family308_seq012,1-0,LTR13_v
family308_seq013,1-0,LTR13_v
family308_seq014,1-0,LTR13_v
family308_seq015,1-0,LTR13_v
family308_seq016,1-0,LTR13_v
family308_seq017,1-0,LTR13_v
family308_seq018,1-0,LTR13_v
family308_seq019,1-0,LTR13_v
family308_seq020,1-0,LTR13_v
family308_seq021,1-0,LTR13_v
family308_seq022,1-0,LTR13_v
family308_seq023,1-0,LTR13_v
family308_seq024,1-0,LTR13_v
family308_seq025,1-1,LTR13_v
family308_seq026,1-0,LTR13_v
family308_seq027,1-0,LTR13_v
family308_seq028,1-0,LTR13_v
family308_seq029,1-0,LTR13_v
family308_seq030,1-1,LTR13_v
family308_seq031,1-0,LTR13_v
family308_seq032,1-0,LTR13_v
family308_seq033,1-0,LTR13_v
family308_seq034,1-0,LTR13_v
family308_seq035,1-0,LTR13_v
family308_seq036,1-0,LTR13_v
family308_seq037,1-1,LTR13_v
family308_seq038,1-0,LTR13_v
family308_seq039,1-0,LTR13_v
family308_seq040,1-0,LTR13_v
family308_seq041,1-0,LTR13_v
family308_seq042,1-0,LTR13_v
family308_seq043,1-0,LTR13_v
family308_seq044,1-0,LTR13_v
family308_seq045,1-0,LTR13_v
family308_seq046,1-0,LTR13_v
family308_seq047,1-0,LTR13_v
family308_seq048,1-0,LTR13_v
family308_seq049,1-0,LTR13_v
family308_seq050,1-0,LTR13_v
family308_seq051,1-1,LTR13_v
family308_seq052,1-0,LTR13_v
family308_seq053,1-0,LTR13_v
family308_seq054,1-0,LTR13_v
family308_seq055,1-0,LTR13_v
family308_seq056,1-0,LTR13_v
family308_seq057,1-0,LTR13_v
family308_seq058,1-0,LTR13_v
family308_seq059,1-0,LTR13_v
family308_seq060,1-0,LTR13_v
family308_seq061,0,LTR13A
family308_seq062,0,LTR13A
family308_seq063,0,LTR13A
family308_seq064,0,LTR13A
family308_seq065,0,LTR13A
family308_seq066,1-1,LTR13A
family308_seq067,0,LTR13A
family308_seq068,0,LTR13A
family308_seq069,0,LTR13A
family308_seq070,0,LTR13A
family308_seq071,0,LTR13A
family308_seq072,0,LTR13A
family308_seq073,0,LTR13A
family308_seq074,0,LTR13A
family308_seq075,0,LTR13A
family308_seq076,0,LTR13A
family308_seq077,0,LTR13A
family308_seq078,0,LTR13A
family308_seq079,0,LTR13A
family308_seq080,0,LTR13A
family308_seq081,0,LTR13A
family308_seq082,0,LTR13A
family308_seq083,0,LTR13A
family308_seq084,0,LTR13A
family308_seq085,0,LTR13A
family308_seq086,0,LTR13A
family308_seq087,0,LTR13A
family308_seq088,0,LTR13A
